,id,Nome da Instituicao,Nome do Curso de Graduacao,Codigo do Município do Curso,Modalidade de Ensino,Ano de Referencia,Quantidade de Ingressantes no Curso,Quantidade de Permanencia no Curso no ano de referencia,Quantidade de Concluintes no Curso no ano de referencia,Quantidade de Desistencia no Curso no ano de referencia,Quantidade de Falecimentos no Curso no ano de referencia,Taxa de Permanencia – TAP,Taxa de Conclusao Acumulada - TCA,Taxa de Desistencia Acumulada - TDA,Taxa de Conclusao Anual - TCAN,Taxa de Desistencia Anual - TADA,Nome do Município
8448,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA DE PRECISÃO,3550308,Presencial,2020,59,13,9,3,0,22,"27,1","50,8","15,3","5,1",São Paulo
8449,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA DE PRECISÃO,3550308,Presencial,2021,59,9,4,0,0,"15,3","33,9","50,8","6,8",0,São Paulo
8455,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MICROELETRÔNICA,3550308,Presencial,2017,58,58,0,0,0,100,0,0,0,0,São Paulo
8456,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MICROELETRÔNICA,3550308,Presencial,2018,58,41,2,15,0,"70,7","3,4","25,9","3,4","25,9",São Paulo
8457,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MICROELETRÔNICA,3550308,Presencial,2019,58,30,0,11,0,"51,7","3,4","44,8",0,19,São Paulo
8458,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MICROELETRÔNICA,3550308,Presencial,2020,58,22,6,2,0,"37,9","13,8","48,3","10,3","3,4",São Paulo
8459,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MICROELETRÔNICA,3550308,Presencial,2021,58,17,4,1,0,"29,3","20,7",50,"6,9","1,7",São Paulo
8460,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,CONSTRUÇÃO CIVIL - MOVIMENTO DE TERRA E PAVIMENTAÇÃO,3550308,Presencial,2017,70,70,0,0,0,100,0,0,0,0,São Paulo
8461,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,CONSTRUÇÃO CIVIL - MOVIMENTO DE TERRA E PAVIMENTAÇÃO,3550308,Presencial,2018,70,50,0,20,0,"71,4",0,"28,6",0,"28,6",São Paulo
8462,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,CONSTRUÇÃO CIVIL - MOVIMENTO DE TERRA E PAVIMENTAÇÃO,3550308,Presencial,2019,70,37,4,9,0,"52,9","5,7","41,4","5,7","12,9",São Paulo
